zinc_id,smile_str,duplicates
ZINC03245324,C1CCC(C(C1)CN)SC2CCCCC2C(=O)OCC(=O)NC3CCC4C(C3)OCCO4,0,
ZINC83310457,CC1CCCC(C1N2C(CC(C2C)/C=N\NC(=O)C(=O)NC3CCC(CC3)N(=O)O)C)C,0,
ZINC01234567,CC1CCCCN1CCCC(C2CCCCC2)(C3CCCCC3)O,0,
ZINC12345678,CC1CCC(CC1C)OCCOC2C(CC(CC2I)/C=N/N3CNNC3)OC,0,
ZINC00029323,COC1CCCC(C1)NC(=O)C2CCCNC2,1,ZINC00029323,
